week,steamid,owner_base,average_price,pre_average_price,action,adventure,casual,puzzle,RPG,sports,simulation,strategy,new_followers,peak_concurrent,sharing_percentage,average_playtime,covid_confirmed,owners_change
1,359550,16390000,16.56,7.99,1,0,1,0,0,0,0,1,2516,117930,24.77,613,0,449000
2,359550,16839000,19.99,16.56,1,0,1,0,0,0,0,1,2123,106261,25.78,686,0,467000
3,359550,17306000,19.99,19.99,1,0,1,0,0,0,0,1,2351,125478,24.95,611,0,-234000
4,359550,17072000,14.85,19.99,1,0,1,0,0,0,0,1,3170,131110,22.67,710,14207,-464000
5,359550,16608000,19.99,14.85,1,0,1,0,0,0,0,1,2188,124493,23.91,800,96925,299000
6,359550,16907000,19.99,19.99,1,0,1,0,0,0,0,1,2063,118195,24.3,648,257654,390000
7,359550,17297000,19.99,19.99,1,0,1,0,0,0,0,1,2730,118548,20.59,854,461122,418000
8,359550,17715000,9.7,19.99,1,0,1,0,0,0,0,1,4904,142084,24.31,628,546152,566000
9,359550,18281000,8.26,9.7,1,0,1,0,0,0,0,1,3094,140120,23.75,744,605772,633000
10,359550,18914000,8.26,8.26,1,0,1,0,0,0,0,1,4961,138667,24.48,689,742685,350000
11,359550,19264000,7.99,8.26,1,0,1,0,0,0,0,1,3810,161993,24.64,694,1101744,1171000
12,359550,20435000,7.99,7.99,1,0,1,0,0,0,0,1,2665,174891,23.02,869,2167643,271000
13,359550,20706000,16.56,7.99,1,0,1,0,0,0,0,1,2801,169332,28.29,966,4612054,526000
14,359550,21232000,19.99,16.56,1,0,1,0,0,0,0,1,1886,161071,24.22,1000,8185633,292000
15,359550,21524000,19.99,19.99,1,0,1,0,0,0,0,1,1866,153253,23.34,917,12155629,257000
16,359550,21781000,19.99,19.99,1,0,1,0,0,0,0,1,1816,137466,21.09,751,16185863,472000
1,130,1740000,3.7,0.49,1,1,0,1,0,0,0,0,15,114,0.95,52,0,-27000
2,130,7099000,4.99,3.7,1,1,0,1,0,0,0,0,-3,81,0.64,1,0,14000
3,130,7114000,4.99,4.99,1,1,0,1,0,0,0,0,11,81,0,116,0,-183000
4,130,6817000,4.99,4.99,1,1,0,1,0,0,0,0,102,290,0.7,347,14207,-423000
5,130,6501000,4.99,4.99,1,1,0,1,0,0,0,0,38,197,0.21,467,96925,-40000
6,130,6453000,4.99,4.99,1,1,0,1,0,0,0,0,7,165,0,1684,257654,4993000
7,130,6440000,4.99,4.99,1,1,0,1,0,0,0,0,20,136,0.43,407,461122,23000
8,130,6454000,4.99,4.99,1,1,0,1,0,0,0,0,13,120,0.57,46,546152,-20000
9,130,6449000,4.99,4.99,1,1,0,1,0,0,0,0,15,109,0.19,92,605772,18000
10,130,6466000,4.99,4.99,1,1,0,1,0,0,0,0,15,110,0.52,24,742685,33000
11,130,6496000,4.99,4.99,1,1,0,1,0,0,0,0,11,142,0.22,437,1101744,55000
12,130,6555000,4.99,4.99,1,1,0,1,0,0,0,0,33,183,0.82,128,2167643,69000
13,130,6623000,4.99,4.99,1,1,0,1,0,0,0,0,40,232,0,22,4612054,30000
14,130,6660000,4.99,4.99,1,1,0,1,0,0,0,0,23,139,0.45,81,8185633,-73000
15,130,6562000,4.99,4.99,1,1,0,1,0,0,0,0,26,131,0,157,12155629,6000
16,130,6568000,4.99,4.99,1,1,0,1,0,0,0,0,17,124,0.19,5219,16185863,7000
3,115300,3049000,39.99,39.99,1,1,1,0,0,0,0,0,0,2,0,0,0,-141000
4,115300,2908000,28.33,39.99,1,1,1,0,0,0,0,0,0,1,0,0,14207,-208000
5,115300,2700000,39.99,28.33,1,1,1,0,0,0,0,0,0,2,0,0,96925,4000
6,115300,2704000,39.99,39.99,1,1,1,0,0,0,0,0,0,1,0,0,257654,19000
7,115300,2723000,39.99,39.99,1,1,1,0,0,0,0,0,0,1,0,0,461122,5000
8,115300,2728000,39.99,39.99,1,1,1,0,0,0,0,0,0,2,0,0,546152,-2371000
9,115300,357000,39.99,39.99,1,1,1,0,0,0,0,0,0,2,0,0,605772,2384000
10,115300,2741000,39.99,39.99,1,1,1,0,0,0,0,0,0,2,0,0,742685,6000
11,115300,2747000,39.99,39.99,1,1,1,0,0,0,0,0,0,2,0,0,1101744,8000
12,115300,2755000,39.99,39.99,1,1,1,0,0,0,0,0,0,2,0,0,2167643,6000
13,115300,2761000,39.99,39.99,1,1,1,0,0,0,0,0,0,3,0,0,4612054,6000
14,115300,2767000,39.99,39.99,1,1,1,0,0,0,0,0,0,2,0,0,8185633,7000
15,115300,2774000,39.99,39.99,1,1,1,0,0,0,0,0,0,2,0,0,12155629,8000
16,115300,2782000,39.99,39.99,1,1,1,0,0,0,0,0,0,2,0,0,16185863,5000
1,96000,5042000,2.99,1.49,0,1,1,1,0,0,0,0,2,97,0.53,183,0,5985000
2,96000,11027000,1.99,2.99,0,1,1,1,0,0,0,0,14,35,0.44,206,0,32000
3,96000,11059000,4.99,1.99,0,1,1,1,0,0,0,0,-1,45,0.68,108,0,-518000
4,96000,10541000,4.99,4.99,0,1,1,1,0,0,0,0,0,21,0,4,14207,-784000
5,96000,9757000,4.99,4.99,0,1,1,1,0,0,0,0,3,26,0.21,103,96925,10000
6,96000,9767000,4.99,4.99,0,1,1,1,0,0,0,0,6,23,0,383,257654,12000
7,96000,9779000,4.99,4.99,0,1,1,1,0,0,0,0,2,28,0,383,461122,3000
8,96000,9782000,4.99,4.99,0,1,1,1,0,0,0,0,4,29,0,383,546152,13000
9,96000,9795000,4.42,4.99,0,1,1,1,0,0,0,0,15,61,0.63,290,605772,15000
10,96000,9810000,1.56,4.42,0,1,1,1,0,0,0,0,14,56,0.53,306,742685,-2000
11,96000,9808000,4.99,1.56,0,1,1,1,0,0,0,0,12,80,0.22,110,1101744,38000
12,96000,9846000,4.99,4.99,0,1,1,1,0,0,0,0,2,76,0,74,2167643,3000
13,96000,9849000,4.99,4.99,0,1,1,1,0,0,0,0,4,58,0,74,4612054,16000
14,96000,9865000,4.99,4.99,0,1,1,1,0,0,0,0,12,65,0,74,8185633,15000
